 Code  1232
 Dimension, Fixed Cost
   100        3000
 Facility, Client, Transportation Cost
     1        2           3
     1       12           0
     1       19           1
     1       24           0
     1       29           3
     1       33           4
     1       39           3
     1       43           1
     1       72           2
     1       80           1
     1       95           3
     2       58           3
     2       65           0
     2       79           2
     2       98           2
     2      100           1
     3        5           1
     3       20           1
     3       25           4
     3       29           0
     3       41           1
     3       54           1
     3       61           4
     3       69           0
     3       73           4
     3       82           3
     3       83           2
     3       84           4
     3       92           1
     3       93           0
     3       97           4
     3      100           3
     4        9           1
     4       26           4
     4       30           2
     4       37           4
     4       39           4
     4       47           1
     4       51           4
     4       61           2
     4       69           4
     4       73           4
     4       74           0
     4       96           4
     5        4           2
     5        5           2
     5       17           0
     5       38           4
     5       43           4
     5       49           4
     5       61           1
     5       70           4
     5       85           0
     5       92           4
     5       97           0
     6       27           2
     6       28           0
     6       31           2
     6       45           2
     6       47           0
     6       79           4
     6       84           0
     7        3           1
     7       11           4
     7       21           0
     7       22           2
     7       23           2
     7       45           0
     7       57           0
     7       65           0
     7       67           3
     7       73           4
     7       98           0
     8        9           3
     8       24           3
     8       60           3
     8       65           1
     8       74           1
     8       84           3
     8       88           0
     9        1           1
     9        7           2
     9        8           2
     9       19           0
     9       23           3
     9       32           2
     9       39           2
     9       46           3
     9       59           1
     9       77           2
     9       88           3
     9       93           2
    10        4           0
    10        5           1
    10       14           3
    10       23           1
    10       24           1
    10       40           2
    10       42           2
    10       69           2
    10       78           0
    10       79           0
    10       84           4
    11        3           4
    11        4           2
    11        5           1
    11       35           4
    11       41           0
    11       53           2
    11       69           1
    11       78           4
    11       79           4
    11       80           2
    11       96           0
    12       15           3
    12       18           0
    12       44           2
    12       51           0
    12       64           1
    12       66           4
    12       67           4
    12       76           4
    12       97           0
    12      100           4
    13        6           4
    13        7           0
    13       46           0
    13       49           3
    13       50           0
    13       52           0
    13       57           2
    13       63           3
    13       71           2
    13       76           4
    13       85           3
    13       87           3
    14       10           1
    14       13           3
    14       33           0
    14       37           1
    14       41           1
    14       44           3
    14       63           2
    14       64           3
    14       78           4
    14       86           3
    14       95           4
    15       15           0
    15       21           3
    15       35           4
    15       58           1
    15       73           4
    15       90           0
    15       93           0
    16        7           0
    16       21           2
    16       24           1
    16       39           2
    16       42           2
    16       59           3
    16       66           1
    16       80           2
    16       91           1
    16       94           3
    16       98           4
    17        1           0
    17        6           3
    17       11           0
    17       15           2
    17       18           1
    17       22           0
    17       37           3
    17       44           0
    17       53           1
    18        8           3
    18       22           1
    18       26           2
    18       31           2
    18       33           0
    18       36           2
    18       53           4
    18       54           2
    18       62           0
    18       67           2
    18       89           1
    18       93           1
    19        4           0
    19       19           3
    19       24           4
    19       26           1
    19       54           1
    19       64           1
    19       76           1
    19       77           0
    19       85           4
    19       99           2
    20       21           3
    20       35           0
    20       40           2
    20       46           1
    20       56           3
    20       58           4
    20       71           4
    20       76           3
    21        3           0
    21       17           2
    21       19           0
    21       27           3
    21       32           0
    21       38           0
    21       51           2
    21       52           1
    21       56           4
    21       57           0
    21       58           3
    21       70           4
    21       81           1
    21       85           2
    21       97           3
    21       99           3
    22        3           3
    22       10           2
    22       12           1
    22       15           4
    22       17           4
    22       27           2
    22       40           0
    22       49           0
    22       55           1
    22       64           1
    22       83           0
    22       85           0
    23        9           2
    23       22           0
    23       23           4
    23       39           3
    23       50           3
    23       51           2
    23       83           2
    23       86           3
    24       11           4
    24       14           1
    24       38           4
    24       42           0
    24       49           4
    24       54           3
    24       55           0
    24       56           2
    24       57           2
    24       68           0
    24       77           4
    24       81           4
    24       82           3
    24       83           0
    24       84           0
    24       86           4
    24       92           3
    24       96           4
    25       20           3
    25       40           4
    25       55           2
    25       59           3
    25       62           4
    25       69           3
    25       92           1
    25       99           1
    26       33           2
    26       40           4
    26       44           3
    26       69           0
    26       72           3
    26       75           4
    26       91           4
    26       94           1
    27       16           3
    27       39           3
    27       45           1
    27       49           0
    27       55           2
    27       65           0
    27       70           0
    27       83           2
    28        3           4
    28        4           0
    28       34           2
    28       37           0
    28       41           1
    28       63           2
    28       88           3
    28       89           4
    28       90           3
    28       94           1
    29        5           4
    29       27           3
    29       31           0
    29       49           3
    29       51           2
    29       55           0
    29       60           3
    29       61           0
    29       74           4
    29       77           4
    29       89           2
    30        5           4
    30       12           0
    30       13           2
    30       28           1
    30       32           2
    30       37           1
    30       43           0
    30       54           3
    30       59           3
    30       75           3
    30       87           1
    30       88           1
    31       16           0
    31       36           2
    31       37           2
    31       38           2
    31       44           0
    31       47           2
    31       63           3
    31       77           1
    31       80           0
    31       88           1
    32       10           3
    32       48           4
    32       53           0
    32       61           0
    32       70           2
    33       26           2
    33       35           3
    33       44           0
    33       46           4
    33       52           1
    33       53           1
    33       54           2
    33       56           4
    33       86           4
    33       97           2
    33      100           1
    34        6           1
    34        7           4
    34        8           4
    34        9           3
    34       11           0
    34       16           1
    34       20           1
    34       22           4
    34       25           4
    34       38           2
    34       41           0
    34       50           3
    34       56           1
    34       57           0
    34       64           1
    34       81           2
    34       82           3
    34      100           3
    35       10           3
    35       11           0
    35       13           2
    35       16           1
    35       18           1
    35       36           0
    35       48           2
    35       52           3
    35       58           1
    35       73           1
    35       89           3
    35       94           0
    36        4           3
    36       18           4
    36       24           1
    36       26           2
    36       32           0
    36       47           1
    36       86           2
    36       98           4
    37        5           1
    37       12           1
    37       46           1
    37       53           2
    37       57           0
    37       59           4
    37       62           4
    37       66           3
    37       67           4
    37       81           0
    37       90           1
    38        7           0
    38       10           2
    38       12           3
    38       43           0
    38       48           4
    38       50           0
    38       60           1
    38       69           0
    38       78           3
    39        4           4
    39       29           4
    39       38           1
    39       51           4
    39       85           3
    39       93           2
    40       21           4
    40       28           0
    40       30           4
    40       33           0
    40       52           1
    40       55           1
    40       83           0
    40       84           4
    40       91           4
    41       28           0
    41       72           1
    41       73           2
    41       79           2
    41       83           1
    41       96           4
    42        2           2
    42        4           4
    42        6           4
    42        8           4
    42       20           4
    42       24           1
    42       25           2
    42       27           0
    42       43           3
    42       48           2
    42       65           2
    42       80           1
    43        2           0
    43       15           3
