100
100
3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000
0 1 2
0 22 2
0 47 1
0 68 3
0 74 4
0 79 4
0 91 2
1 33 3
1 39 4
1 46 2
1 55 0
2 7 0
2 9 4
2 10 0
2 23 2
2 61 2
2 70 3
2 72 3
2 74 3
2 83 2
3 2 0
3 11 1
3 12 4
3 24 0
3 29 1
3 56 4
3 70 3
3 71 2
3 72 0
4 1 0
4 6 3
4 12 1
4 13 4
4 24 0
4 30 1
4 40 1
4 42 4
4 73 3
5 8 2
5 11 0
5 12 3
5 16 4
5 18 1
5 20 2
5 28 4
5 35 2
5 37 0
5 44 4
5 45 1
5 52 0
5 83 4
5 85 3
6 2 2
6 38 4
6 46 2
6 60 4
6 64 2
6 66 0
6 87 1
6 96 1
7 11 2
7 34 0
7 36 2
7 38 3
7 43 0
7 45 0
7 46 1
7 48 0
7 71 2
7 76 2
7 79 0
7 91 1
8 2 4
8 11 0
8 19 4
8 38 0
8 55 3
8 57 2
8 58 0
8 65 3
8 79 0
8 82 1
8 90 4
9 18 3
9 40 3
9 41 0
9 42 0
9 56 4
9 61 3
9 98 1
10 0 1
10 17 0
10 23 2
10 26 3
10 62 0
10 68 3
10 77 0
10 79 2
10 89 0
11 9 3
11 32 3
11 33 4
11 53 4
11 61 1
11 68 0
11 78 3
11 81 4
11 91 4
12 0 3
12 12 4
12 21 0
12 49 4
12 81 0
13 5 2
13 8 1
13 14 1
13 25 1
13 42 0
13 44 1
13 48 1
13 65 1
13 88 0
14 1 2
14 4 3
14 9 0
14 20 4
14 31 0
14 34 2
14 41 0
14 46 4
14 74 1
14 76 4
14 81 4
15 5 0
15 8 2
15 43 1
15 46 3
15 68 4
15 71 0
15 77 2
15 89 2
15 95 1
15 99 3
16 14 1
16 31 0
16 37 0
16 44 4
16 45 2
16 60 0
16 61 1
16 65 2
16 86 4
17 15 0
17 20 1
17 23 4
17 35 2
17 44 2
17 46 2
17 50 4
17 63 0
17 64 1
17 75 3
17 83 1
17 84 4
17 86 3
17 88 1
17 89 2
18 5 0
18 8 1
18 22 2
18 25 4
18 31 1
18 37 1
18 52 4
18 82 1
18 83 4
18 90 4
19 40 1
19 68 2
19 70 2
19 83 1
19 86 0
19 88 1
19 97 1
20 11 3
20 28 2
20 35 1
20 51 0
20 52 0
20 57 3
20 58 1
20 60 1
20 63 3
20 80 1
20 85 2
20 98 2
21 0 3
21 5 1
21 13 4
21 19 3
21 26 2
21 30 2
21 35 1
21 51 3
21 52 1
21 72 1
21 94 4
21 97 3
22 19 3
22 29 2
22 40 1
22 79 4
22 83 2
22 96 2
23 2 3
23 9 2
23 15 0
23 25 4
23 26 2
23 34 2
23 41 2
23 52 0
23 55 4
23 59 0
23 65 2
23 90 2
23 96 1
24 5 3
24 20 2
24 23 1
24 62 4
24 79 3
24 86 1
24 95 4
25 1 4
25 14 3
25 39 3
25 43 1
25 50 0
25 57 2
25 60 3
25 61 0
25 72 4
25 76 3
25 78 0
25 84 0
26 0 4
26 1 0
26 3 1
26 5 0
26 6 0
26 16 0
26 22 1
26 23 1
26 24 0
26 34 0
26 38 3
26 49 0
26 64 1
26 81 2
26 87 1
26 93 0
27 0 1
27 3 0
27 34 1
27 63 0
27 73 2
27 78 0
27 85 0
28 0 4
28 14 0
28 15 0
28 21 4
28 30 4
28 39 1
28 47 1
28 88 2
28 89 3
28 94 1
29 3 3
29 8 3
