100
100
3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000
0 1 2
0 5 3
0 7 4
0 11 2
0 29 4
0 50 3
0 58 4
0 63 2
0 93 4
0 95 1
1 8 3
1 12 1
1 14 4
1 47 3
1 56 1
1 61 1
1 68 2
1 72 0
1 77 2
1 84 2
2 11 4
2 27 3
2 31 0
2 32 4
2 46 1
2 54 1
2 65 4
2 78 3
2 81 4
2 91 1
3 1 4
3 18 0
3 33 4
3 52 2
3 60 1
3 75 4
3 80 1
3 84 4
3 89 2
3 91 4
4 13 4
4 20 4
4 23 0
4 37 3
4 48 2
4 72 1
4 81 2
4 86 3
4 95 2
4 97 0
5 0 2
5 2 4
5 3 1
5 4 2
5 36 2
5 45 0
5 49 2
5 71 4
5 88 4
5 95 4
6 0 2
6 6 2
6 9 2
6 15 3
6 22 3
6 25 4
6 41 1
6 51 2
6 78 3
6 91 4
7 8 4
7 12 0
7 13 3
7 35 4
7 41 0
7 43 4
7 61 3
7 85 4
7 86 0
7 98 4
8 0 3
8 7 4
8 12 2
8 31 4
8 33 1
8 36 4
8 50 2
8 51 2
8 61 2
8 90 2
9 5 4
9 13 0
9 25 2
9 34 3
9 53 1
9 62 4
9 64 4
9 81 3
9 84 1
9 85 4
10 1 4
10 28 1
10 36 2
10 47 0
10 56 2
10 58 4
10 61 3
10 78 3
10 98 1
10 99 2
11 19 3
11 20 2
11 30 0
11 38 4
11 46 0
11 49 3
11 51 1
11 65 3
11 76 0
11 93 2
12 15 1
12 19 2
12 21 0
12 26 1
12 30 2
12 37 1
12 56 3
12 61 3
12 77 4
12 98 2
13 6 3
13 8 3
13 24 1
13 29 3
13 31 4
13 38 1
13 63 0
13 71 4
13 78 1
13 81 0
14 26 1
14 27 4
14 40 3
14 42 3
14 43 4
14 46 3
14 74 1
14 75 1
14 81 3
14 84 0
15 36 2
15 42 1
15 48 2
15 54 0
15 60 4
15 68 3
15 75 1
15 91 2
15 92 2
15 99 2
16 3 2
16 20 0
16 41 0
16 42 1
16 44 0
16 74 2
16 78 1
16 79 2
16 87 2
16 92 2
17 0 1
17 7 2
17 20 4
17 50 1
17 55 2
17 58 1
17 76 1
17 78 1
17 87 3
17 95 2
18 12 0
18 15 0
18 19 4
18 45 0
18 48 1
18 52 2
18 53 1
18 63 1
18 83 0
18 92 1
19 10 3
19 20 1
19 24 4
19 40 2
19 41 0
19 74 2
19 75 1
19 81 4
19 82 0
19 84 2
20 1 0
20 31 4
20 38 4
20 39 4
20 47 1
20 50 2
20 58 1
20 72 0
20 84 0
20 98 4
21 1 3
21 20 4
21 29 4
21 30 0
21 65 4
21 74 4
21 76 2
21 78 0
21 79 4
21 98 0
22 1 2
22 9 4
22 22 3
22 25 1
22 27 2
22 37 0
22 46 4
22 48 1
22 62 4
22 86 4
23 5 4
23 18 2
23 25 0
23 38 1
23 40 3
23 43 4
23 45 1
23 48 3
23 82 4
23 94 0
24 0 2
24 4 4
24 12 4
24 28 0
24 37 4
24 51 0
24 56 3
24 70 0
24 82 1
24 92 1
25 10 1
25 22 0
25 30 3
25 36 4
25 61 2
25 62 3
25 74 2
25 77 3
25 90 1
25 91 2
26 4 1
26 9 3
26 15 3
26 41 3
26 51 3
26 79 1
26 84 4
26 94 2
26 95 3
26 98 0
27 9 0
27 19 0
27 32 3
27 50 0
27 51 1
27 54 1
27 62 3
27 64 3
27 71 4
27 73 1
28 18 2
28 39 4
28 50 0
28 54 2
28 66 3
28 73 1
28 79 4
28 82 0
28 83 1
28 99 2
29 3 1
29 11 1
29 12 3
29 24 4
29 41 0
29 65 4
29 70 0
29 71 3
29 76 0
29 90 3
30 13 2
30 42 1
30 43 2
30 52 4
30 65 3
30 73 2
30 75 2
30 78 2
30 87 4
30 92 3
31 3 1
31 4 0
31 14 3
31 21 4
31 27 3
31 32 4
31 43 0
31 45 1
31 66 2
31 68 3
32 0 2
32 6 1
32 8 1
32 17 0
32 20 1
32 39 0
32 45 1
32 73 0
32 75 0
32 80 1
33 5 2
33 15 2
33 24 4
33 32 0
33 44 2
33 59 3
33 76 4
33 82 3
33 85 4
33 88 3
34 1 4
34 6 3
34 7 1
34 22 2
34 34 3
34 60 3
34 61 0
34 62 2
34 77 2
34 99 4
35 1 3
35 12 4
35 13 4
35 16 0
35 21 2
35 48 4
35 62 4
35 78 4
35 86 2
35 94 3
36 8 3
36 11 2
36 20 3
36 27 1
36 32 4
36 35 3
36 83 3
36 85 4
36 94 2
36 99 2
37 13 1
37 21 4
37 23 3
37 32 0
37 45 0
37 55 4
37 74 0
37 80 2
37 87 2
37 91 4
38 0 0
38 10 1
38 16 3
38 37 0
38 49 2
38 52 2
38 53 3
38 55 2
38 75 3
38 82 0
39 2 0
39 4 0
39 7 1
39 27 3
39 43 3
39 45 1
39 67 4
39 87 0
39 95 2
39 96 1
40 6 2
40 8 0
40 31 4
40 34 4
40 42 3
40 50 2
40 77 1
40 95 2
40 97 2
40 98 4
41 8 4
41 24 1
41 25 3
41 39 3
41 51 1
41 62 3
41 69 3
41 81 1
41 87 4
41 94 4
42 16 3
42 29 4
42 40 1
42 42 4
42 48 2
42 50 1
42 78 1
42 93 3
42 94 3
42 98 4
43 5 1
43 18 4
43 24 2
43 25 3
43 27 4
43 47 0
43 67 3
43 90 1
43 91 1
43 95 0
44 17 3
44 22 3
44 25 4
44 38 3
44 72 1
44 73 2
44 83 3
44 91 2
44 92 3
44 99 3
45 7 1
45 10 0
45 36 4
45 42 4
45 47 3
45 68 4
45 69 3
45 81 4
45 84 0
45 86 0
46 8 2
46 17 4
46 21 1
46 27 1
46 51 2
46 67 4
46 73 1
46 76 0
46 81 4
46 98 1
47 8 2
47 15 1
47 19 1
47 43 4
47 44 1
47 54 2
47 60 3
47 75 1
47 87 3
47 92 2
48 3 4
48 5 0
48 14 1
48 17 3
48 25 0
48 49 2
48 57 2
48 63 4
48 65 1
48 81 3
49 2 2
49 14 1
49 43 3
49 45 3
49 47 3
49 49 0
49 55 2
49 60 3
49 70 1
49 83 3
50 14 0
50 21 0
50 29 4
50 32 3
50 39 3
50 45 4
50 51 4
50 65 2
50 66 3
50 81 3
51 0 0
51 8 1
51 20 3
51 50 3
51 55 2
51 60 1
51 78 3
51 83 0
51 85 4
51 91 1
52 7 1
52 8 3
52 9 1
52 21 2
52 35 1
52 65 1
52 71 3
52 84 1
52 95 0
52 99 0
53 21 0
53 23 3
53 31 4
53 35 1
53 44 1
53 45 1
53 49 0
53 79 3
53 82 4
53 83 3
54 5 0
54 15 4
54 25 1
54 28 1
54 36 4
54 39 4
54 63 4
54 70 1
54 79 0
54 97 0
55 0 3
55 15 2
55 29 0
55 30 0
55 34 0
55 37 0
55 53 2
55 77 2
55 81 1
55 92 3
56 0 2
56 6 3
56 7 0
56 8 2
56 22 3
56 33 2
56 48 0
56 50 0
56 74 4
56 76 4
57 6 4
57 27 2
57 28 3
57 38 0
57 42 4
57 54 0
57 64 4
57 65 2
57 71 2
57 78 3
58 13 1
58 20 4
58 49 2
58 50 2
58 63 3
58 67 1
58 72 0
58 74 4
58 93 1
58 94 3
59 13 3
59 18 3
59 28 3
59 46 0
59 48 2
59 50 0
59 66 2
59 75 3
59 86 2
59 94 1
60 5 1
60 8 3
60 27 0
60 30 1
60 31 3
60 36 2
60 43 0
60 51 3
60 61 2
60 76 1
61 8 2
61 9 3
61 30 1
61 33 1
61 67 4
61 72 0
61 79 2
61 82 4
61 84 2
61 98 3
62 11 4
62 31 0
62 51 3
62 54 4
62 59 3
62 62 3
62 68 0
62 72 3
62 86 2
62 98 4
63 6 1
63 7 1
63 26 3
63 35 3
63 43 0
63 48 4
63 53 2
63 69 4
63 72 1
63 94 2
64 0 1
64 27 3
64 29 4
64 32 4
64 42 3
64 43 4
64 49 3
64 65 4
