 Code  2933
 Dimension, Fixed Cost
   100        3000
 Facility, Client, Transportation Cost
     1        2           3
     1       11           3
     1       22           1
     1       24           0
     1       31           2
     1       34           2
     1       49           2
     1       60           2
     1       79           0
     1       92           4
     2       28           2
     2       31           0
     2       36           3
     2       38           0
     2       66           0
     2       68           3
     2       75           1
     2       77           0
     2       86           1
     2       88           2
     3       14           0
     3       17           1
     3       26           3
     3       62           3
     3       69           1
     3       81           2
     3       86           0
     3       88           2
     3       90           3
     3       93           1
     4       10           4
     4       13           1
     4       16           1
     4       41           4
     4       54           2
     4       61           1
     4       65           0
     4       70           4
     4       83           4
     4       88           2
     5        6           1
     5       10           0
     5       35           0
     5       40           2
     5       48           1
     5       84           2
     5       87           3
     5       88           0
     5       94           0
     5       95           0
     6        8           3
     6       26           0
     6       31           0
     6       39           2
     6       43           4
     6       45           4
     6       46           1
     6       58           0
     6       62           2
     6       71           3
     7       27           2
     7       28           2
     7       34           2
     7       43           3
     7       48           2
     7       59           0
     7       70           2
     7       74           4
     7       76           2
     7       77           1
     8       15           1
     8       19           2
     8       21           1
     8       23           0
     8       24           0
     8       44           4
     8       45           1
     8       49           3
     8       54           3
     8       57           0
     9        2           4
     9       12           4
     9       17           0
     9       66           3
     9       79           4
     9       81           2
     9       91           0
     9       97           2
     9       99           2
     9      100           2
    10        7           1
    10       33           0
    10       41           4
    10       55           3
    10       62           4
    10       63           0
    10       69           1
    10       87           2
    10       88           4
    10       89           1
    11        1           2
    11        4           3
    11        9           3
    11       16           0
    11       23           1
    11       27           2
    11       44           2
    11       66           2
    11       75           1
    11       83           4
    12        2           0
    12        4           3
    12        8           2
    12       15           2
    12       29           4
    12       35           2
    12       41           2
    12       80           4
    12       82           0
    12       98           4
    13        4           0
    13       25           0
    13       36           0
    13       56           0
    13       66           3
    13       78           2
    13       86           2
    13       89           3
    13       92           0
    13       94           3
    14        6           0
    14       26           1
    14       37           1
    14       48           1
    14       51           0
    14       60           0
    14       62           2
    14       64           1
    14       72           3
    14       89           1
    15        4           1
    15       13           3
    15       14           4
    15       22           4
    15       35           0
    15       38           1
    15       42           3
    15       53           2
    15       70           1
    15       72           2
    16       12           4
    16       21           1
    16       34           4
    16       43           3
    16       45           1
    16       58           1
    16       59           2
    16       80           4
    16       83           4
    16       88           4
    17       26           2
    17       37           3
    17       51           3
    17       53           3
    17       58           3
    17       63           4
    17       65           3
    17       66           2
    17       70           1
    17       71           1
    18        1           3
    18       20           4
    18       25           4
    18       41           4
    18       71           2
    18       72           4
    18       75           1
    18       76           3
    18       86           4
    18       95           2
    19       11           1
    19       25           2
    19       35           4
    19       50           2
    19       59           4
    19       61           3
    19       82           3
    19       88           1
    19       98           3
    19       99           2
    20       24           4
    20       59           2
    20       61           3
    20       78           4
    20       79           3
    20       87           0
    20       96           0
    20       98           2
    20       99           4
    20      100           0
    21        1           1
    21        9           2
    21       10           3
    21       29           0
    21       36           4
    21       40           1
    21       59           3
    21       81           3
    21       82           3
    21       83           2
    22       27           0
    22       32           3
    22       39           1
    22       43           3
    22       48           3
    22       63           1
    22       67           0
    22       70           3
    22       81           1
    22       85           3
    23        2           0
    23       24           2
    23       39           0
    23       54           4
    23       59           3
    23       60           0
    23       64           4
    23       83           0
    23       97           2
    23      100           2
    24        3           3
    24       18           3
    24       19           3
    24       47           1
    24       49           0
    24       73           0
    24       76           0
    24       82           2
    24       83           1
    24       87           0
    25       13           3
    25       15           0
    25       25           0
    25       28           3
    25       35           2
    25       36           2
    25       37           4
    25       47           4
    25       54           4
    25       69           3
    26        4           4
    26        7           4
    26       13           3
    26       18           4
    26       23           4
    26       30           3
    26       39           2
    26       50           1
    26       63           3
    26       72           4
    27       28           2
    27       31           1
    27       43           2
    27       45           3
    27       48           4
    27       50           0
    27       55           2
    27       60           3
    27       67           1
    27       69           3
    28        3           4
    28        8           3
    28       10           3
    28       19           4
    28       25           3
    28       27           1
    28       32           3
    28       39           2
    28       40           2
    28       42           1
    29       25           3
    29       35           4
    29       36           2
    29       41           0
    29       42           0
    29       46           2
    29       71           1
    29       72           2
    29       74           3
    29       75           4
    30        5           1
    30       15           0
    30       20           4
    30       21           1
    30       34           0
    30       52           3
    30       85           0
    30       96           0
