 Code   633
 Dimension, Fixed Cost
   100        3000
 Facility, Client, Transportation Cost
     1        2           3
     1       10           4
     1       13           2
     1       20           1
     1       26           0
     1       31           4
     1       50           1
     1       55           2
     1       60           3
     1       67           1
     2        9           3
     2       26           3
     2       35           0
     2       40           3
     2       43           0
     2       45           3
     2       46           4
     2       58           1
     2       65           0
     2       70           4
     3       11           2
     3       20           2
     3       21           0
     3       32           2
     3       39           2
     3       43           3
     3       45           1
     3       61           1
     3       68           3
     3       73           2
     4        6           2
     4       13           4
     4       31           3
     4       33           3
     4       70           3
     4       71           2
     4       76           0
     4       82           2
     4       84           4
     4       90           1
     5        9           4
     5       17           0
     5       23           3
     5       25           2
     5       27           0
     5       36           3
     5       45           0
     5       51           0
     5       70           1
     5       72           1
     6        8           3
     6       10           0
     6       28           0
     6       32           1
     6       37           4
     6       49           4
     6       50           4
     6       74           4
     6       90           2
     6       98           3
     7        8           0
     7        9           3
     7       12           3
     7       19           4
     7       34           1
     7       76           3
     7       83           0
     7       86           1
     7       88           0
     7       95           2
     8       14           0
     8       28           2
     8       41           4
     8       44           4
     8       50           1
     8       71           0
     8       75           1
     8       85           3
     8       86           2
     8       98           0
     9        2           2
     9       12           0
     9       18           1
     9       53           3
     9       71           1
     9       88           3
     9       90           1
     9       95           1
     9       97           1
     9       98           1
    10        5           1
    10        8           1
    10       14           1
    10       19           3
    10       26           0
    10       57           2
    10       61           4
    10       74           1
    10       80           4
    10       89           1
    11        9           2
    11       27           3
    11       32           0
    11       35           0
    11       39           4
    11       40           4
    11       49           4
    11       51           0
    11       52           3
    11       56           0
    12       10           0
    12       20           2
    12       26           0
    12       39           3
    12       56           4
    12       57           4
    12       66           3
    12       75           2
    12       87           4
    12       93           0
    13        6           0
    13        7           2
    13       19           4
    13       20           2
    13       24           1
    13       37           1
    13       44           3
    13       50           4
    13       69           3
    13       71           4
    14        1           2
    14       22           0
    14       23           1
    14       26           3
    14       30           1
    14       31           0
    14       34           1
    14       38           1
    14       46           1
    14       59           2
    15        2           4
    15        9           4
    15       41           2
    15       43           1
    15       44           1
    15       47           3
    15       52           3
    15       66           2
    15       71           0
    15       72           4
    16       15           4
    16       37           2
    16       55           1
    16       64           4
    16       70           0
    16       79           4
    16       81           4
    16       96           1
    16       98           4
    16      100           0
    17        2           1
    17        8           0
    17       41           3
    17       60           3
    17       61           4
    17       68           3
    17       83           2
    17       86           3
    17       88           1
    17       91           4
    18        3           3
    18       17           3
    18       23           4
    18       29           3
    18       37           1
    18       41           1
    18       65           2
    18       67           2
    18       76           0
    18       77           0
    19        2           1
    19        5           4
    19       18           1
    19       38           2
    19       43           3
    19       75           3
    19       81           0
    19       89           4
    19       91           3
    19       96           4
    20        4           1
    20        5           0
    20        9           1
    20       15           1
    20       29           0
    20       30           4
    20       34           1
    20       41           0
    20       54           4
    20       59           3
    21       30           1
    21       53           0
    21       60           0
    21       61           1
    21       62           1
    21       64           1
    21       65           2
    21       85           0
    21       89           0
    21       94           1
